dataset,instancia,n,R,archivo
ratio-resistenciam1,m1-83,83,39684,instancias/ratio-resistenciam1/m1-83.txt
ratio-resistenciam1,m1-84,84,41514,instancias/ratio-resistenciam1/m1-84.txt
ratio-resistenciam1,m1-85,85,48682,instancias/ratio-resistenciam1/m1-85.txt
ratio-resistenciam1,m1-86,86,40692,instancias/ratio-resistenciam1/m1-86.txt
ratio-resistenciam1,m1-87,87,46389,instancias/ratio-resistenciam1/m1-87.txt
ratio-resistenciam1,m1-88,88,48250,instancias/ratio-resistenciam1/m1-88.txt
ratio-resistenciam1,m1-89,89,43950,instancias/ratio-resistenciam1/m1-89.txt
ratio-resistenciam1,m1-90,90,43723,instancias/ratio-resistenciam1/m1-90.txt
ratio-resistenciam1,m1-91,91,46551,instancias/ratio-resistenciam1/m1-91.txt
ratio-resistenciam1,m1-92,92,47882,instancias/ratio-resistenciam1/m1-92.txt
ratio-resistenciam1,m1-93,93,47872,instancias/ratio-resistenciam1/m1-93.txt
ratio-resistenciam1,m1-94,94,47404,instancias/ratio-resistenciam1/m1-94.txt
ratio-resistenciam1,m1-95,95,48248,instancias/ratio-resistenciam1/m1-95.txt
ratio-resistenciam1,m1-96,96,48368,instancias/ratio-resistenciam1/m1-96.txt
ratio-resistenciam1,m1-97,97,51875,instancias/ratio-resistenciam1/m1-97.txt
ratio-resistenciam1,m1-98,98,49121,instancias/ratio-resistenciam1/m1-98.txt
ratio-resistenciam1,m1-99,99,44805,instancias/ratio-resistenciam1/m1-99.txt
ratio-resistenciam1,m1-100,100,53775,instancias/ratio-resistenciam1/m1-100.txt
ratio-resistenciam1,m1-101,101,48035,instancias/ratio-resistenciam1/m1-101.txt
ratio-resistenciam1,m1-102,102,53559,instancias/ratio-resistenciam1/m1-102.txt
ratio-resistenciam1,m1-103,103,56696,instancias/ratio-resistenciam1/m1-103.txt
ratio-resistenciam1,m1-104,104,47664,instancias/ratio-resistenciam1/m1-104.txt
ratio-resistenciam1,m1-105,105,50999,instancias/ratio-resistenciam1/m1-105.txt
ratio-resistenciam1,m1-106,106,54546,instancias/ratio-resistenciam1/m1-106.txt
ratio-resistenciam1,m1-107,107,57390,instancias/ratio-resistenciam1/m1-107.txt
ratio-resistenciam1,m1-108,108,59787,instancias/ratio-resistenciam1/m1-108.txt
ratio-resistenciam1,m1-109,109,56678,instancias/ratio-resistenciam1/m1-109.txt
ratio-resistenciam1,m1-110,110,55445,instancias/ratio-resistenciam1/m1-110.txt
ratio-resistenciam1,m1-111,111,57116,instancias/ratio-resistenciam1/m1-111.txt
ratio-resistenciam1,m1-112,112,55337,instancias/ratio-resistenciam1/m1-112.txt
ratio-resistenciam1,m1-113,113,58792,instancias/ratio-resistenciam1/m1-113.txt
ratio-resistenciam1,m1-114,114,59174,instancias/ratio-resistenciam1/m1-114.txt
ratio-resistenciam1,m1-115,115,53838,instancias/ratio-resistenciam1/m1-115.txt
ratio-resistenciam1,m1-116,116,54251,instancias/ratio-resistenciam1/m1-116.txt
ratio-resistenciam1,m1-117,117,57449,instancias/ratio-resistenciam1/m1-117.txt
ratio-resistenciam1,m1-118,118,53753,instancias/ratio-resistenciam1/m1-118.txt
ratio-resistenciam1,m1-119,119,59918,instancias/ratio-resistenciam1/m1-119.txt
ratio-resistenciam1,m1-120,120,62351,instancias/ratio-resistenciam1/m1-120.txt
ratio-resistenciam1,m1-121,121,60975,instancias/ratio-resistenciam1/m1-121.txt
ratio-resistenciam1,m1-122,122,65496,instancias/ratio-resistenciam1/m1-122.txt
ratio-resistenciam1,m1-123,123,64570,instancias/ratio-resistenciam1/m1-123.txt
ratio-resistenciam1,m1-124,124,58877,instancias/ratio-resistenciam1/m1-124.txt
ratio-resistenciam1,m1-125,125,55539,instancias/ratio-resistenciam1/m1-125.txt
ratio-resistenciam1,m1-126,126,63958,instancias/ratio-resistenciam1/m1-126.txt
ratio-resistenciam1,m1-127,127,58720,instancias/ratio-resistenciam1/m1-127.txt
ratio-resistenciam1,m1-128,128,65585,instancias/ratio-resistenciam1/m1-128.txt
ratio-resistenciam1,m1-129,129,66277,instancias/ratio-resistenciam1/m1-129.txt
ratio-resistenciam1,m1-130,130,61670,instancias/ratio-resistenciam1/m1-130.txt
ratio-resistenciam1,m1-131,131,58317,instancias/ratio-resistenciam1/m1-131.txt
ratio-resistenciam1,m1-132,132,67247,instancias/ratio-resistenciam1/m1-132.txt
ratio-resistenciam1,m1-133,133,64991,instancias/ratio-resistenciam1/m1-133.txt
ratio-resistenciam1,m1-134,134,65380,instancias/ratio-resistenciam1/m1-134.txt
ratio-resistenciam1,m1-135,135,64625,instancias/ratio-resistenciam1/m1-135.txt
ratio-resistenciam1,m1-136,136,68178,instancias/ratio-resistenciam1/m1-136.txt
ratio-resistenciam1,m1-137,137,66443,instancias/ratio-resistenciam1/m1-137.txt
ratio-resistenciam1,m1-138,138,74021,instancias/ratio-resistenciam1/m1-138.txt
ratio-resistenciam1,m1-139,139,75102,instancias/ratio-resistenciam1/m1-139.txt
ratio-resistenciam1,m1-140,140,69598,instancias/ratio-resistenciam1/m1-140.txt
ratio-resistenciam1,m1-141,141,71868,instancias/ratio-resistenciam1/m1-141.txt
ratio-resistenciam1,m1-142,142,59695,instancias/ratio-resistenciam1/m1-142.txt
ratio-resistenciam1,m1-143,143,74493,instancias/ratio-resistenciam1/m1-143.txt
ratio-resistenciam1,m1-144,144,69546,instancias/ratio-resistenciam1/m1-144.txt
ratio-resistenciam1,m1-145,145,67857,instancias/ratio-resistenciam1/m1-145.txt
ratio-resistenciam1,m1-146,146,72846,instancias/ratio-resistenciam1/m1-146.txt
ratio-resistenciam1,m1-147,147,70202,instancias/ratio-resistenciam1/m1-147.txt
ratio-resistenciam1,m1-148,148,69974,instancias/ratio-resistenciam1/m1-148.txt
ratio-resistenciam1,m1-149,149,71455,instancias/ratio-resistenciam1/m1-149.txt
ratio-resistenciam1,m1-150,150,70292,instancias/ratio-resistenciam1/m1-150.txt
ratio-resistenciam1,m1-151,151,73258,instancias/ratio-resistenciam1/m1-151.txt
ratio-resistenciam1,m1-152,152,78540,instancias/ratio-resistenciam1/m1-152.txt
ratio-resistenciam1,m1-153,153,75730,instancias/ratio-resistenciam1/m1-153.txt
ratio-resistenciam1,m1-154,154,78910,instancias/ratio-resistenciam1/m1-154.txt
ratio-resistenciam1,m1-155,155,78033,instancias/ratio-resistenciam1/m1-155.txt
ratio-resistenciam1,m1-156,156,76955,instancias/ratio-resistenciam1/m1-156.txt
ratio-resistenciam1,m1-157,157,82421,instancias/ratio-resistenciam1/m1-157.txt
ratio-resistenciam1,m1-158,158,81044,instancias/ratio-resistenciam1/m1-158.txt
ratio-resistenciam1,m1-159,159,77890,instancias/ratio-resistenciam1/m1-159.txt
ratio-resistenciam1,m1-160,160,76776,instancias/ratio-resistenciam1/m1-160.txt
ratio-resistenciam1,m1-161,161,84115,instancias/ratio-resistenciam1/m1-161.txt
ratio-resistenciam1,m1-162,162,78991,instancias/ratio-resistenciam1/m1-162.txt
ratio-resistenciam1,m1-163,163,73848,instancias/ratio-resistenciam1/m1-163.txt
ratio-resistenciam1,m1-164,164,83994,instancias/ratio-resistenciam1/m1-164.txt
ratio-resistenciam1,m1-165,165,84987,instancias/ratio-resistenciam1/m1-165.txt
ratio-resistenciam1,m1-166,166,84815,instancias/ratio-resistenciam1/m1-166.txt
ratio-resistenciam1,m1-167,167,84622,instancias/ratio-resistenciam1/m1-167.txt
ratio-resistenciam1,m1-168,168,85387,instancias/ratio-resistenciam1/m1-168.txt
ratio-resistenciam1,m1-169,169,84161,instancias/ratio-resistenciam1/m1-169.txt
ratio-resistenciam1,m1-170,170,82030,instancias/ratio-resistenciam1/m1-170.txt
ratio-resistenciam1,m1-171,171,84449,instancias/ratio-resistenciam1/m1-171.txt
ratio-resistenciam1,m1-172,172,92007,instancias/ratio-resistenciam1/m1-172.txt
ratio-resistenciam1,m1-173,173,85353,instancias/ratio-resistenciam1/m1-173.txt
ratio-resistenciam1,m1-174,174,90146,instancias/ratio-resistenciam1/m1-174.txt
ratio-resistenciam1,m1-175,175,92342,instancias/ratio-resistenciam1/m1-175.txt
ratio-resistenciam1,m1-176,176,88344,instancias/ratio-resistenciam1/m1-176.txt
ratio-resistenciam1,m1-177,177,87836,instancias/ratio-resistenciam1/m1-177.txt
ratio-resistenciam1,m1-178,178,86727,instancias/ratio-resistenciam1/m1-178.txt
ratio-resistenciam1,m1-179,179,88387,instancias/ratio-resistenciam1/m1-179.txt
ratio-resistenciam1,m1-180,180,89173,instancias/ratio-resistenciam1/m1-180.txt
ratio-resistenciam1,m1-181,181,99859,instancias/ratio-resistenciam1/m1-181.txt
ratio-resistenciam1,m1-182,182,94938,instancias/ratio-resistenciam1/m1-182.txt
ratio-resistenciam1,m1-183,183,94116,instancias/ratio-resistenciam1/m1-183.txt
ratio-resistenciam1,m1-184,184,90928,instancias/ratio-resistenciam1/m1-184.txt
ratio-resistenciam1,m1-185,185,90793,instancias/ratio-resistenciam1/m1-185.txt
ratio-resistenciam1,m1-186,186,87479,instancias/ratio-resistenciam1/m1-186.txt
ratio-resistenciam1,m1-187,187,93617,instancias/ratio-resistenciam1/m1-187.txt
ratio-resistenciam1,m1-188,188,89381,instancias/ratio-resistenciam1/m1-188.txt
ratio-resistenciam1,m1-189,189,95234,instancias/ratio-resistenciam1/m1-189.txt
ratio-resistenciam1,m1-190,190,95059,instancias/ratio-resistenciam1/m1-190.txt
ratio-resistenciam1,m1-191,191,90840,instancias/ratio-resistenciam1/m1-191.txt
ratio-resistenciam1,m1-192,192,97625,instancias/ratio-resistenciam1/m1-192.txt
ratio-resistenciam1,m1-193,193,95975,instancias/ratio-resistenciam1/m1-193.txt
ratio-resistenciam1,m1-194,194,96849,instancias/ratio-resistenciam1/m1-194.txt
ratio-resistenciam1,m1-195,195,89741,instancias/ratio-resistenciam1/m1-195.txt
ratio-resistenciam1,m1-196,196,100747,instancias/ratio-resistenciam1/m1-196.txt
ratio-resistenciam1,m1-197,197,107785,instancias/ratio-resistenciam1/m1-197.txt
ratio-resistenciam1,m1-198,198,98804,instancias/ratio-resistenciam1/m1-198.txt
ratio-resistenciam1,m1-199,199,100312,instancias/ratio-resistenciam1/m1-199.txt
ratio-resistenciam1,m1-200,200,102155,instancias/ratio-resistenciam1/m1-200.txt
ratio-resistenciam1,m1-201,201,95340,instancias/ratio-resistenciam1/m1-201.txt
ratio-resistenciam1,m1-202,202,100057,instancias/ratio-resistenciam1/m1-202.txt
ratio-resistenciam1,m1-203,203,97046,instancias/ratio-resistenciam1/m1-203.txt
ratio-resistenciam1,m1-204,204,100742,instancias/ratio-resistenciam1/m1-204.txt
ratio-resistenciam1,m1-205,205,104119,instancias/ratio-resistenciam1/m1-205.txt
ratio-resistenciam1,m1-206,206,103878,instancias/ratio-resistenciam1/m1-206.txt
ratio-resistenciam1,m1-207,207,107056,instancias/ratio-resistenciam1/m1-207.txt
ratio-resistenciam1,m1-208,208,99465,instancias/ratio-resistenciam1/m1-208.txt
ratio-resistenciam1,m1-209,209,102539,instancias/ratio-resistenciam1/m1-209.txt
ratio-resistenciam1,m1-210,210,102905,instancias/ratio-resistenciam1/m1-210.txt
ratio-resistenciam1,m1-211,211,107079,instancias/ratio-resistenciam1/m1-211.txt
ratio-resistenciam1,m1-212,212,109531,instancias/ratio-resistenciam1/m1-212.txt
ratio-resistenciam1,m1-213,213,106383,instancias/ratio-resistenciam1/m1-213.txt
ratio-resistenciam1,m1-214,214,107806,instancias/ratio-resistenciam1/m1-214.txt
ratio-resistenciam1,m1-215,215,110052,instancias/ratio-resistenciam1/m1-215.txt
ratio-resistenciam1,m1-216,216,104592,instancias/ratio-resistenciam1/m1-216.txt
ratio-resistenciam1,m1-217,217,108369,instancias/ratio-resistenciam1/m1-217.txt
ratio-resistenciam1,m1-218,218,118133,instancias/ratio-resistenciam1/m1-218.txt
ratio-resistenciam1,m1-219,219,113156,instancias/ratio-resistenciam1/m1-219.txt
ratio-resistenciam1,m1-220,220,104076,instancias/ratio-resistenciam1/m1-220.txt
ratio-resistenciam1,m1-221,221,114559,instancias/ratio-resistenciam1/m1-221.txt
ratio-resistenciam1,m1-222,222,116605,instancias/ratio-resistenciam1/m1-222.txt
ratio-resistenciam1,m1-223,223,104719,instancias/ratio-resistenciam1/m1-223.txt
ratio-resistenciam1,m1-224,224,115766,instancias/ratio-resistenciam1/m1-224.txt
ratio-resistenciam1,m1-225,225,117118,instancias/ratio-resistenciam1/m1-225.txt
ratio-resistenciam1,m1-226,226,110930,instancias/ratio-resistenciam1/m1-226.txt
ratio-resistenciam1,m1-227,227,113487,instancias/ratio-resistenciam1/m1-227.txt
ratio-resistenciam1,m1-228,228,112069,instancias/ratio-resistenciam1/m1-228.txt
ratio-resistenciam1,m1-229,229,111535,instancias/ratio-resistenciam1/m1-229.txt
ratio-resistenciam1,m1-230,230,112163,instancias/ratio-resistenciam1/m1-230.txt
ratio-resistenciam1,m1-231,231,105345,instancias/ratio-resistenciam1/m1-231.txt
ratio-resistenciam1,m1-232,232,114112,instancias/ratio-resistenciam1/m1-232.txt
ratio-resistenciam1,m1-233,233,113418,instancias/ratio-resistenciam1/m1-233.txt
ratio-resistenciam1,m1-234,234,119130,instancias/ratio-resistenciam1/m1-234.txt
ratio-resistenciam1,m1-235,235,114733,instancias/ratio-resistenciam1/m1-235.txt
ratio-resistenciam1,m1-236,236,111967,instancias/ratio-resistenciam1/m1-236.txt
ratio-resistenciam1,m1-237,237,121538,instancias/ratio-resistenciam1/m1-237.txt
ratio-resistenciam1,m1-238,238,116314,instancias/ratio-resistenciam1/m1-238.txt
ratio-resistenciam1,m1-239,239,120116,instancias/ratio-resistenciam1/m1-239.txt
ratio-resistenciam1,m1-240,240,126599,instancias/ratio-resistenciam1/m1-240.txt
ratio-resistenciam1,m1-241,241,125907,instancias/ratio-resistenciam1/m1-241.txt
ratio-resistenciam1,m1-242,242,123393,instancias/ratio-resistenciam1/m1-242.txt
ratio-resistenciam1,m1-243,243,123244,instancias/ratio-resistenciam1/m1-243.txt
ratio-resistenciam1,m1-244,244,116473,instancias/ratio-resistenciam1/m1-244.txt
ratio-resistenciam1,m1-245,245,119100,instancias/ratio-resistenciam1/m1-245.txt
ratio-resistenciam1,m1-246,246,130563,instancias/ratio-resistenciam1/m1-246.txt
ratio-resistenciam1,m1-247,247,126281,instancias/ratio-resistenciam1/m1-247.txt
ratio-resistenciam1,m1-248,248,119849,instancias/ratio-resistenciam1/m1-248.txt
ratio-resistenciam1,m1-249,249,127449,instancias/ratio-resistenciam1/m1-249.txt
ratio-resistenciam1,m1-250,250,124038,instancias/ratio-resistenciam1/m1-250.txt
ratio-resistenciam1,m1-251,251,130451,instancias/ratio-resistenciam1/m1-251.txt
ratio-resistenciam1,m1-252,252,131489,instancias/ratio-resistenciam1/m1-252.txt
ratio-resistenciam1,m1-253,253,130170,instancias/ratio-resistenciam1/m1-253.txt
ratio-resistenciam1,m1-254,254,123584,instancias/ratio-resistenciam1/m1-254.txt
ratio-resistenciam1,m1-255,255,119962,instancias/ratio-resistenciam1/m1-255.txt
ratio-resistenciam1,m1-256,256,134654,instancias/ratio-resistenciam1/m1-256.txt
ratio-resistenciam1,m1-257,257,131156,instancias/ratio-resistenciam1/m1-257.txt
ratio-resistenciam1,m1-258,258,134618,instancias/ratio-resistenciam1/m1-258.txt
ratio-resistenciam1,m1-259,259,134601,instancias/ratio-resistenciam1/m1-259.txt
ratio-resistenciam1,m1-260,260,136044,instancias/ratio-resistenciam1/m1-260.txt
ratio-resistenciam1,m1-261,261,122852,instancias/ratio-resistenciam1/m1-261.txt
ratio-resistenciam1,m1-262,262,137195,instancias/ratio-resistenciam1/m1-262.txt
ratio-resistenciam1,m1-263,263,124986,instancias/ratio-resistenciam1/m1-263.txt
ratio-resistenciam1,m1-264,264,126772,instancias/ratio-resistenciam1/m1-264.txt
ratio-resistenciam1,m1-265,265,140084,instancias/ratio-resistenciam1/m1-265.txt
ratio-resistenciam1,m1-266,266,134639,instancias/ratio-resistenciam1/m1-266.txt
ratio-resistenciam1,m1-267,267,128561,instancias/ratio-resistenciam1/m1-267.txt
ratio-resistenciam1,m1-268,268,137280,instancias/ratio-resistenciam1/m1-268.txt
ratio-resistenciam1,m1-269,269,133231,instancias/ratio-resistenciam1/m1-269.txt
ratio-resistenciam1,m1-270,270,144991,instancias/ratio-resistenciam1/m1-270.txt
ratio-resistenciam1,m1-271,271,130791,instancias/ratio-resistenciam1/m1-271.txt
ratio-resistenciam1,m1-272,272,137612,instancias/ratio-resistenciam1/m1-272.txt
ratio-resistenciam1,m1-273,273,134820,instancias/ratio-resistenciam1/m1-273.txt
ratio-resistenciam1,m1-274,274,135362,instancias/ratio-resistenciam1/m1-274.txt
ratio-resistenciam1,m1-275,275,140217,instancias/ratio-resistenciam1/m1-275.txt
ratio-resistenciam1,m1-276,276,134242,instancias/ratio-resistenciam1/m1-276.txt
ratio-resistenciam1,m1-277,277,137917,instancias/ratio-resistenciam1/m1-277.txt
ratio-resistenciam1,m1-278,278,147013,instancias/ratio-resistenciam1/m1-278.txt
ratio-resistenciam1,m1-279,279,134330,instancias/ratio-resistenciam1/m1-279.txt
ratio-resistenciam1,m1-280,280,139811,instancias/ratio-resistenciam1/m1-280.txt
ratio-resistenciam1,m1-281,281,139319,instancias/ratio-resistenciam1/m1-281.txt
ratio-resistenciam1,m1-282,282,139323,instancias/ratio-resistenciam1/m1-282.txt
ratio-resistenciam1,m1-283,283,150163,instancias/ratio-resistenciam1/m1-283.txt
ratio-resistenciam1,m1-284,284,136257,instancias/ratio-resistenciam1/m1-284.txt
ratio-resistenciam1,m1-285,285,136485,instancias/ratio-resistenciam1/m1-285.txt
ratio-resistenciam1,m1-286,286,150689,instancias/ratio-resistenciam1/m1-286.txt
ratio-resistenciam1,m1-287,287,146933,instancias/ratio-resistenciam1/m1-287.txt
ratio-resistenciam1,m1-288,288,145788,instancias/ratio-resistenciam1/m1-288.txt
ratio-resistenciam1,m1-289,289,145480,instancias/ratio-resistenciam1/m1-289.txt
ratio-resistenciam1,m1-290,290,142638,instancias/ratio-resistenciam1/m1-290.txt
ratio-resistenciam1,m1-291,291,143347,instancias/ratio-resistenciam1/m1-291.txt
ratio-resistenciam1,m1-292,292,147158,instancias/ratio-resistenciam1/m1-292.txt
ratio-resistenciam1,m1-293,293,147335,instancias/ratio-resistenciam1/m1-293.txt
ratio-resistenciam1,m1-294,294,147819,instancias/ratio-resistenciam1/m1-294.txt
ratio-resistenciam1,m1-295,295,150328,instancias/ratio-resistenciam1/m1-295.txt
ratio-resistenciam1,m1-296,296,147568,instancias/ratio-resistenciam1/m1-296.txt
ratio-resistenciam1,m1-297,297,143582,instancias/ratio-resistenciam1/m1-297.txt
ratio-resistenciam1,m1-298,298,141775,instancias/ratio-resistenciam1/m1-298.txt
ratio-resistenciam1,m1-299,299,146918,instancias/ratio-resistenciam1/m1-299.txt
ratio-resistenciam1,m1-300,300,146750,instancias/ratio-resistenciam1/m1-300.txt
