,dataset,instancia,n,R,archivo
42,ratio-resistencia>1,>1-43,43,22877,/instancias/ratio-resistencia>1/>1-43.txt
43,ratio-resistencia>1,>1-44,44,20076,/instancias/ratio-resistencia>1/>1-44.txt
44,ratio-resistencia>1,>1-45,45,19335,/instancias/ratio-resistencia>1/>1-45.txt
45,ratio-resistencia>1,>1-46,46,25894,/instancias/ratio-resistencia>1/>1-46.txt
46,ratio-resistencia>1,>1-47,47,27607,/instancias/ratio-resistencia>1/>1-47.txt
47,ratio-resistencia>1,>1-48,48,27088,/instancias/ratio-resistencia>1/>1-48.txt
48,ratio-resistencia>1,>1-49,49,26266,/instancias/ratio-resistencia>1/>1-49.txt
49,ratio-resistencia>1,>1-50,50,23910,/instancias/ratio-resistencia>1/>1-50.txt
50,ratio-resistencia>1,>1-51,51,24540,/instancias/ratio-resistencia>1/>1-51.txt
51,ratio-resistencia>1,>1-52,52,27500,/instancias/ratio-resistencia>1/>1-52.txt
52,ratio-resistencia>1,>1-53,53,26095,/instancias/ratio-resistencia>1/>1-53.txt
53,ratio-resistencia>1,>1-54,54,29958,/instancias/ratio-resistencia>1/>1-54.txt
54,ratio-resistencia>1,>1-55,55,27136,/instancias/ratio-resistencia>1/>1-55.txt
55,ratio-resistencia>1,>1-56,56,27594,/instancias/ratio-resistencia>1/>1-56.txt
56,ratio-resistencia>1,>1-57,57,29469,/instancias/ratio-resistencia>1/>1-57.txt
57,ratio-resistencia>1,>1-58,58,28989,/instancias/ratio-resistencia>1/>1-58.txt
58,ratio-resistencia>1,>1-59,59,30672,/instancias/ratio-resistencia>1/>1-59.txt
59,ratio-resistencia>1,>1-60,60,28239,/instancias/ratio-resistencia>1/>1-60.txt
60,ratio-resistencia>1,>1-61,61,28389,/instancias/ratio-resistencia>1/>1-61.txt
61,ratio-resistencia>1,>1-62,62,28363,/instancias/ratio-resistencia>1/>1-62.txt
62,ratio-resistencia>1,>1-63,63,26124,/instancias/ratio-resistencia>1/>1-63.txt
63,ratio-resistencia>1,>1-64,64,31805,/instancias/ratio-resistencia>1/>1-64.txt
64,ratio-resistencia>1,>1-65,65,38782,/instancias/ratio-resistencia>1/>1-65.txt
65,ratio-resistencia>1,>1-66,66,38461,/instancias/ratio-resistencia>1/>1-66.txt
66,ratio-resistencia>1,>1-67,67,35407,/instancias/ratio-resistencia>1/>1-67.txt
67,ratio-resistencia>1,>1-68,68,34339,/instancias/ratio-resistencia>1/>1-68.txt
68,ratio-resistencia>1,>1-69,69,32639,/instancias/ratio-resistencia>1/>1-69.txt
69,ratio-resistencia>1,>1-70,70,35605,/instancias/ratio-resistencia>1/>1-70.txt
70,ratio-resistencia>1,>1-71,71,35283,/instancias/ratio-resistencia>1/>1-71.txt
71,ratio-resistencia>1,>1-72,72,39318,/instancias/ratio-resistencia>1/>1-72.txt
72,ratio-resistencia>1,>1-73,73,34399,/instancias/ratio-resistencia>1/>1-73.txt
73,ratio-resistencia>1,>1-74,74,34703,/instancias/ratio-resistencia>1/>1-74.txt
74,ratio-resistencia>1,>1-75,75,36050,/instancias/ratio-resistencia>1/>1-75.txt
75,ratio-resistencia>1,>1-76,76,35683,/instancias/ratio-resistencia>1/>1-76.txt
76,ratio-resistencia>1,>1-77,77,42199,/instancias/ratio-resistencia>1/>1-77.txt
77,ratio-resistencia>1,>1-78,78,40942,/instancias/ratio-resistencia>1/>1-78.txt
78,ratio-resistencia>1,>1-79,79,38325,/instancias/ratio-resistencia>1/>1-79.txt
79,ratio-resistencia>1,>1-80,80,34027,/instancias/ratio-resistencia>1/>1-80.txt
80,ratio-resistencia>1,>1-81,81,40706,/instancias/ratio-resistencia>1/>1-81.txt
81,ratio-resistencia>1,>1-82,82,39235,/instancias/ratio-resistencia>1/>1-82.txt
82,ratio-resistencia>1,>1-83,83,39951,/instancias/ratio-resistencia>1/>1-83.txt
83,ratio-resistencia>1,>1-84,84,44624,/instancias/ratio-resistencia>1/>1-84.txt
84,ratio-resistencia>1,>1-85,85,43434,/instancias/ratio-resistencia>1/>1-85.txt
85,ratio-resistencia>1,>1-86,86,41383,/instancias/ratio-resistencia>1/>1-86.txt
86,ratio-resistencia>1,>1-87,87,44229,/instancias/ratio-resistencia>1/>1-87.txt
87,ratio-resistencia>1,>1-88,88,38435,/instancias/ratio-resistencia>1/>1-88.txt
88,ratio-resistencia>1,>1-89,89,44378,/instancias/ratio-resistencia>1/>1-89.txt
89,ratio-resistencia>1,>1-90,90,46870,/instancias/ratio-resistencia>1/>1-90.txt
90,ratio-resistencia>1,>1-91,91,42350,/instancias/ratio-resistencia>1/>1-91.txt
91,ratio-resistencia>1,>1-92,92,49733,/instancias/ratio-resistencia>1/>1-92.txt
92,ratio-resistencia>1,>1-93,93,44096,/instancias/ratio-resistencia>1/>1-93.txt
93,ratio-resistencia>1,>1-94,94,47781,/instancias/ratio-resistencia>1/>1-94.txt
94,ratio-resistencia>1,>1-95,95,42980,/instancias/ratio-resistencia>1/>1-95.txt
95,ratio-resistencia>1,>1-96,96,41599,/instancias/ratio-resistencia>1/>1-96.txt
96,ratio-resistencia>1,>1-97,97,50970,/instancias/ratio-resistencia>1/>1-97.txt
97,ratio-resistencia>1,>1-98,98,52826,/instancias/ratio-resistencia>1/>1-98.txt
98,ratio-resistencia>1,>1-99,99,49383,/instancias/ratio-resistencia>1/>1-99.txt
99,ratio-resistencia>1,>1-100,100,47269,/instancias/ratio-resistencia>1/>1-100.txt
100,ratio-resistencia>1,>1-101,101,52785,/instancias/ratio-resistencia>1/>1-101.txt
101,ratio-resistencia>1,>1-102,102,39936,/instancias/ratio-resistencia>1/>1-102.txt
102,ratio-resistencia>1,>1-103,103,45993,/instancias/ratio-resistencia>1/>1-103.txt
103,ratio-resistencia>1,>1-104,104,57407,/instancias/ratio-resistencia>1/>1-104.txt
104,ratio-resistencia>1,>1-105,105,52736,/instancias/ratio-resistencia>1/>1-105.txt
105,ratio-resistencia>1,>1-106,106,53559,/instancias/ratio-resistencia>1/>1-106.txt
106,ratio-resistencia>1,>1-107,107,53925,/instancias/ratio-resistencia>1/>1-107.txt
107,ratio-resistencia>1,>1-108,108,54473,/instancias/ratio-resistencia>1/>1-108.txt
108,ratio-resistencia>1,>1-109,109,49973,/instancias/ratio-resistencia>1/>1-109.txt
109,ratio-resistencia>1,>1-110,110,55364,/instancias/ratio-resistencia>1/>1-110.txt
110,ratio-resistencia>1,>1-111,111,55209,/instancias/ratio-resistencia>1/>1-111.txt
111,ratio-resistencia>1,>1-112,112,55117,/instancias/ratio-resistencia>1/>1-112.txt
112,ratio-resistencia>1,>1-113,113,53616,/instancias/ratio-resistencia>1/>1-113.txt
113,ratio-resistencia>1,>1-114,114,53974,/instancias/ratio-resistencia>1/>1-114.txt
114,ratio-resistencia>1,>1-115,115,55882,/instancias/ratio-resistencia>1/>1-115.txt
115,ratio-resistencia>1,>1-116,116,58008,/instancias/ratio-resistencia>1/>1-116.txt
116,ratio-resistencia>1,>1-117,117,56293,/instancias/ratio-resistencia>1/>1-117.txt
117,ratio-resistencia>1,>1-118,118,58765,/instancias/ratio-resistencia>1/>1-118.txt
118,ratio-resistencia>1,>1-119,119,60103,/instancias/ratio-resistencia>1/>1-119.txt
119,ratio-resistencia>1,>1-120,120,60723,/instancias/ratio-resistencia>1/>1-120.txt
120,ratio-resistencia>1,>1-121,121,57230,/instancias/ratio-resistencia>1/>1-121.txt
121,ratio-resistencia>1,>1-122,122,61231,/instancias/ratio-resistencia>1/>1-122.txt
122,ratio-resistencia>1,>1-123,123,68464,/instancias/ratio-resistencia>1/>1-123.txt
123,ratio-resistencia>1,>1-124,124,62919,/instancias/ratio-resistencia>1/>1-124.txt
124,ratio-resistencia>1,>1-125,125,58990,/instancias/ratio-resistencia>1/>1-125.txt
125,ratio-resistencia>1,>1-126,126,65101,/instancias/ratio-resistencia>1/>1-126.txt
126,ratio-resistencia>1,>1-127,127,65376,/instancias/ratio-resistencia>1/>1-127.txt
127,ratio-resistencia>1,>1-128,128,62387,/instancias/ratio-resistencia>1/>1-128.txt
128,ratio-resistencia>1,>1-129,129,64335,/instancias/ratio-resistencia>1/>1-129.txt
129,ratio-resistencia>1,>1-130,130,62011,/instancias/ratio-resistencia>1/>1-130.txt
130,ratio-resistencia>1,>1-131,131,62664,/instancias/ratio-resistencia>1/>1-131.txt
131,ratio-resistencia>1,>1-132,132,63062,/instancias/ratio-resistencia>1/>1-132.txt
132,ratio-resistencia>1,>1-133,133,63486,/instancias/ratio-resistencia>1/>1-133.txt
133,ratio-resistencia>1,>1-134,134,70982,/instancias/ratio-resistencia>1/>1-134.txt
134,ratio-resistencia>1,>1-135,135,70433,/instancias/ratio-resistencia>1/>1-135.txt
135,ratio-resistencia>1,>1-136,136,69837,/instancias/ratio-resistencia>1/>1-136.txt
136,ratio-resistencia>1,>1-137,137,73555,/instancias/ratio-resistencia>1/>1-137.txt
137,ratio-resistencia>1,>1-138,138,69466,/instancias/ratio-resistencia>1/>1-138.txt
138,ratio-resistencia>1,>1-139,139,69665,/instancias/ratio-resistencia>1/>1-139.txt
139,ratio-resistencia>1,>1-140,140,70378,/instancias/ratio-resistencia>1/>1-140.txt
140,ratio-resistencia>1,>1-141,141,78604,/instancias/ratio-resistencia>1/>1-141.txt
141,ratio-resistencia>1,>1-142,142,61751,/instancias/ratio-resistencia>1/>1-142.txt
142,ratio-resistencia>1,>1-143,143,69962,/instancias/ratio-resistencia>1/>1-143.txt
143,ratio-resistencia>1,>1-144,144,70384,/instancias/ratio-resistencia>1/>1-144.txt
144,ratio-resistencia>1,>1-145,145,71597,/instancias/ratio-resistencia>1/>1-145.txt
145,ratio-resistencia>1,>1-146,146,68797,/instancias/ratio-resistencia>1/>1-146.txt
146,ratio-resistencia>1,>1-147,147,76258,/instancias/ratio-resistencia>1/>1-147.txt
147,ratio-resistencia>1,>1-148,148,74960,/instancias/ratio-resistencia>1/>1-148.txt
148,ratio-resistencia>1,>1-149,149,80133,/instancias/ratio-resistencia>1/>1-149.txt
149,ratio-resistencia>1,>1-150,150,72997,/instancias/ratio-resistencia>1/>1-150.txt
150,ratio-resistencia>1,>1-151,151,77575,/instancias/ratio-resistencia>1/>1-151.txt
151,ratio-resistencia>1,>1-152,152,74880,/instancias/ratio-resistencia>1/>1-152.txt
152,ratio-resistencia>1,>1-153,153,79889,/instancias/ratio-resistencia>1/>1-153.txt
153,ratio-resistencia>1,>1-154,154,78469,/instancias/ratio-resistencia>1/>1-154.txt
154,ratio-resistencia>1,>1-155,155,79822,/instancias/ratio-resistencia>1/>1-155.txt
155,ratio-resistencia>1,>1-156,156,70552,/instancias/ratio-resistencia>1/>1-156.txt
156,ratio-resistencia>1,>1-157,157,77633,/instancias/ratio-resistencia>1/>1-157.txt
157,ratio-resistencia>1,>1-158,158,80174,/instancias/ratio-resistencia>1/>1-158.txt
158,ratio-resistencia>1,>1-159,159,72777,/instancias/ratio-resistencia>1/>1-159.txt
159,ratio-resistencia>1,>1-160,160,80143,/instancias/ratio-resistencia>1/>1-160.txt
160,ratio-resistencia>1,>1-161,161,78857,/instancias/ratio-resistencia>1/>1-161.txt
161,ratio-resistencia>1,>1-162,162,86378,/instancias/ratio-resistencia>1/>1-162.txt
162,ratio-resistencia>1,>1-163,163,79532,/instancias/ratio-resistencia>1/>1-163.txt
163,ratio-resistencia>1,>1-164,164,83589,/instancias/ratio-resistencia>1/>1-164.txt
164,ratio-resistencia>1,>1-165,165,79326,/instancias/ratio-resistencia>1/>1-165.txt
165,ratio-resistencia>1,>1-166,166,89243,/instancias/ratio-resistencia>1/>1-166.txt
166,ratio-resistencia>1,>1-167,167,85478,/instancias/ratio-resistencia>1/>1-167.txt
167,ratio-resistencia>1,>1-168,168,81801,/instancias/ratio-resistencia>1/>1-168.txt
168,ratio-resistencia>1,>1-169,169,86870,/instancias/ratio-resistencia>1/>1-169.txt
169,ratio-resistencia>1,>1-170,170,85078,/instancias/ratio-resistencia>1/>1-170.txt
170,ratio-resistencia>1,>1-171,171,81890,/instancias/ratio-resistencia>1/>1-171.txt
171,ratio-resistencia>1,>1-172,172,85511,/instancias/ratio-resistencia>1/>1-172.txt
172,ratio-resistencia>1,>1-173,173,81556,/instancias/ratio-resistencia>1/>1-173.txt
173,ratio-resistencia>1,>1-174,174,81889,/instancias/ratio-resistencia>1/>1-174.txt
174,ratio-resistencia>1,>1-175,175,89774,/instancias/ratio-resistencia>1/>1-175.txt
175,ratio-resistencia>1,>1-176,176,88392,/instancias/ratio-resistencia>1/>1-176.txt
176,ratio-resistencia>1,>1-177,177,87639,/instancias/ratio-resistencia>1/>1-177.txt
177,ratio-resistencia>1,>1-178,178,90838,/instancias/ratio-resistencia>1/>1-178.txt
178,ratio-resistencia>1,>1-179,179,89751,/instancias/ratio-resistencia>1/>1-179.txt
179,ratio-resistencia>1,>1-180,180,85174,/instancias/ratio-resistencia>1/>1-180.txt
180,ratio-resistencia>1,>1-181,181,83802,/instancias/ratio-resistencia>1/>1-181.txt
181,ratio-resistencia>1,>1-182,182,87881,/instancias/ratio-resistencia>1/>1-182.txt
182,ratio-resistencia>1,>1-183,183,93706,/instancias/ratio-resistencia>1/>1-183.txt
183,ratio-resistencia>1,>1-184,184,95541,/instancias/ratio-resistencia>1/>1-184.txt
184,ratio-resistencia>1,>1-185,185,99330,/instancias/ratio-resistencia>1/>1-185.txt
185,ratio-resistencia>1,>1-186,186,97058,/instancias/ratio-resistencia>1/>1-186.txt
186,ratio-resistencia>1,>1-187,187,91792,/instancias/ratio-resistencia>1/>1-187.txt
187,ratio-resistencia>1,>1-188,188,101087,/instancias/ratio-resistencia>1/>1-188.txt
188,ratio-resistencia>1,>1-189,189,96976,/instancias/ratio-resistencia>1/>1-189.txt
189,ratio-resistencia>1,>1-190,190,88032,/instancias/ratio-resistencia>1/>1-190.txt
190,ratio-resistencia>1,>1-191,191,90290,/instancias/ratio-resistencia>1/>1-191.txt
191,ratio-resistencia>1,>1-192,192,96215,/instancias/ratio-resistencia>1/>1-192.txt
192,ratio-resistencia>1,>1-193,193,101538,/instancias/ratio-resistencia>1/>1-193.txt
193,ratio-resistencia>1,>1-194,194,93422,/instancias/ratio-resistencia>1/>1-194.txt
194,ratio-resistencia>1,>1-195,195,97104,/instancias/ratio-resistencia>1/>1-195.txt
195,ratio-resistencia>1,>1-196,196,97942,/instancias/ratio-resistencia>1/>1-196.txt
196,ratio-resistencia>1,>1-197,197,102494,/instancias/ratio-resistencia>1/>1-197.txt
197,ratio-resistencia>1,>1-198,198,94661,/instancias/ratio-resistencia>1/>1-198.txt
198,ratio-resistencia>1,>1-199,199,100380,/instancias/ratio-resistencia>1/>1-199.txt
199,ratio-resistencia>1,>1-200,200,97209,/instancias/ratio-resistencia>1/>1-200.txt
