dataset,instancia,n,R,archivo
ratio-resistenciaM1,M1-160,160,81976,instancias/ratio-resistenciaM1/M1-160.txt
ratio-resistenciaM1,M1-161,161,80167,instancias/ratio-resistenciaM1/M1-161.txt
ratio-resistenciaM1,M1-162,162,83777,instancias/ratio-resistenciaM1/M1-162.txt
ratio-resistenciaM1,M1-163,163,85718,instancias/ratio-resistenciaM1/M1-163.txt
ratio-resistenciaM1,M1-164,164,81935,instancias/ratio-resistenciaM1/M1-164.txt
ratio-resistenciaM1,M1-165,165,78974,instancias/ratio-resistenciaM1/M1-165.txt
ratio-resistenciaM1,M1-166,166,76709,instancias/ratio-resistenciaM1/M1-166.txt
ratio-resistenciaM1,M1-167,167,85789,instancias/ratio-resistenciaM1/M1-167.txt
ratio-resistenciaM1,M1-168,168,84969,instancias/ratio-resistenciaM1/M1-168.txt
ratio-resistenciaM1,M1-169,169,84545,instancias/ratio-resistenciaM1/M1-169.txt
ratio-resistenciaM1,M1-170,170,91304,instancias/ratio-resistenciaM1/M1-170.txt
ratio-resistenciaM1,M1-171,171,83440,instancias/ratio-resistenciaM1/M1-171.txt
ratio-resistenciaM1,M1-172,172,86380,instancias/ratio-resistenciaM1/M1-172.txt
ratio-resistenciaM1,M1-173,173,79009,instancias/ratio-resistenciaM1/M1-173.txt
ratio-resistenciaM1,M1-174,174,81813,instancias/ratio-resistenciaM1/M1-174.txt
ratio-resistenciaM1,M1-175,175,85622,instancias/ratio-resistenciaM1/M1-175.txt
ratio-resistenciaM1,M1-176,176,91771,instancias/ratio-resistenciaM1/M1-176.txt
ratio-resistenciaM1,M1-177,177,86251,instancias/ratio-resistenciaM1/M1-177.txt
ratio-resistenciaM1,M1-178,178,90021,instancias/ratio-resistenciaM1/M1-178.txt
ratio-resistenciaM1,M1-179,179,86088,instancias/ratio-resistenciaM1/M1-179.txt
ratio-resistenciaM1,M1-180,180,87096,instancias/ratio-resistenciaM1/M1-180.txt
ratio-resistenciaM1,M1-181,181,96987,instancias/ratio-resistenciaM1/M1-181.txt
ratio-resistenciaM1,M1-182,182,97430,instancias/ratio-resistenciaM1/M1-182.txt
ratio-resistenciaM1,M1-183,183,96543,instancias/ratio-resistenciaM1/M1-183.txt
ratio-resistenciaM1,M1-184,184,85952,instancias/ratio-resistenciaM1/M1-184.txt
ratio-resistenciaM1,M1-185,185,99279,instancias/ratio-resistenciaM1/M1-185.txt
ratio-resistenciaM1,M1-186,186,95995,instancias/ratio-resistenciaM1/M1-186.txt
ratio-resistenciaM1,M1-187,187,100368,instancias/ratio-resistenciaM1/M1-187.txt
ratio-resistenciaM1,M1-188,188,93958,instancias/ratio-resistenciaM1/M1-188.txt
ratio-resistenciaM1,M1-189,189,93188,instancias/ratio-resistenciaM1/M1-189.txt
ratio-resistenciaM1,M1-190,190,97816,instancias/ratio-resistenciaM1/M1-190.txt
ratio-resistenciaM1,M1-191,191,94296,instancias/ratio-resistenciaM1/M1-191.txt
ratio-resistenciaM1,M1-192,192,99237,instancias/ratio-resistenciaM1/M1-192.txt
ratio-resistenciaM1,M1-193,193,101526,instancias/ratio-resistenciaM1/M1-193.txt
ratio-resistenciaM1,M1-194,194,100960,instancias/ratio-resistenciaM1/M1-194.txt
ratio-resistenciaM1,M1-195,195,103056,instancias/ratio-resistenciaM1/M1-195.txt
ratio-resistenciaM1,M1-196,196,99670,instancias/ratio-resistenciaM1/M1-196.txt
ratio-resistenciaM1,M1-197,197,96873,instancias/ratio-resistenciaM1/M1-197.txt
ratio-resistenciaM1,M1-198,198,97006,instancias/ratio-resistenciaM1/M1-198.txt
ratio-resistenciaM1,M1-199,199,96415,instancias/ratio-resistenciaM1/M1-199.txt
ratio-resistenciaM1,M1-200,200,99053,instancias/ratio-resistenciaM1/M1-200.txt
